resistance_class,combo,exp_coef,lower,upper
B lactam combo,amoxicillin_clavulanic_acid blaEC-18,3.134782608695653,2.258312711930273,4.3514177429313134
tetracycline,doxycycline tet(34),3.5940170940101366,2.819289728168022,4.58163584358906
tetracycline,tetracycline tet(34),3.166418798329153,2.6748586209814462,3.7483132483216894
tetracycline,doxycycline tet(B),137.42857124409122,74.2310647449533,254.4300322120367
tetracycline,tetracycline tet(B),92.22830064326904,54.888567730794186,154.9696009789131
B lactam combo,amoxicillin_clavulanic_acid blaEC-5,0.2728750923875551,0.2045724998027478,0.3639825299945647
B lactam combo,amoxicillin_clavulanic_acid blaCMY-2,214.85714285577654,76.58751897973191,602.756068496804
aminoglycoside,gentamicin aac(3)-IId,66.44853443040205,41.10432874999374,107.41953128109408
tetracycline,doxycycline tet(A),23.12698010055658,14.888771673999539,35.92352816489008
tetracycline,tetracycline tet(A),113.38260869551237,67.47109936760293,190.5351487539635
folate pathway antagonist,trimethoprim_sulfamethoxazole dfrA17,63.4307692307515,39.36379609123211,102.21225808303173
phenicol,chloramphenicol catA1,45.34666666290353,23.92670515493421,85.9424715656024
sulfonamide,sulphadimethoxine sul2,85.62499999799851,50.62341842526544,144.8270553969173
sulfonamide,sulphathiazole sul2,57.23684210515154,26.30984216863102,124.51827240818872
aminoglycoside,streptomycin aph(3'')-Ib,5.166666666666501,3.1396296520899454,8.502418247538571
aminoglycoside,streptomycin aph(6)-Id,5.166666666666501,3.1396296520899454,8.502418247538571
aminocyclitol,spectinomycin aadA1,25.54545454541595,18.345263506296437,35.57159305495602
aminoglycoside,streptomycin aadA1,14.769230766279874,8.743372012289559,24.948060899276314
aminoglycoside,streptomycin aac(3)-VIa,17.647058823476627,9.359680935817508,33.27236123269023
sulfonamide,sulphadimethoxine sul1,23.95683447235108,14.160390623104497,40.53065577154267
sulfonamide,sulphathiazole sul1,55.4074073539396,19.346023892316676,158.6879457387961
aminocyclitol,spectinomycin ant(3'')-Ia,29.138297866573595,21.2671670279582,39.92259060386385
aminoglycoside,streptomycin ant(3'')-Ia,15.574999999998465,9.441791338584032,25.692224737973454
aminoglycoside,neomycin aph(3')-Ia,81.86904494906626,55.957410709946544,119.7793185180536
tetracycline,oxytetracycline tet(A),73.02026940840325,35.19434342806366,151.50047493780306
phenicol,florfenicol floR,257.36363484312113,147.22667232280077,449.89158210706574
aminocyclitol,spectinomycin aadA2,43.799997009286606,25.459416576541383,75.3528554845671
phenicol,florfenicol cmlA1,4.715447154465664,3.1550429123809876,7.047587777428394
sulfonamide,sulphadimethoxine sul3,37.38636363505828,13.48686019302644,103.63718210525592
aminoglycoside,neomycin mef(B),4.545454545454522,3.142966682529061,6.573775388598042
tetracycline,chlortetracycline tet(B),33.683333189029575,12.023978879640907,94.35869324789306
tetracycline,chlortetracycline tet(A),31.25581395328964,14.762345453233937,66.17687609177601
macrolide,azithromycin mph(A),14.208333333293254,7.505929081883119,26.895635957610793
